index,id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing
19285,S834603,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,0,vil,5/12/2019 18:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138793,834603,Flood,29.86291091,-100.8555301,33.35231856,-96.83814671,#NAME?,384,384,384000,384000,0,112,0
22400,S834603,ir107/2019/SEVIR_IR107_STORMEVENTS_2019_0101_0630.h5,0,ir107,5/12/2019 18:30,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,138793,834603,Flood,29.86291091,-100.8555301,33.35231856,-96.83814671,#NAME?,192,192,384000,384000,-26.26375961,32.82101059,0
29224,S834603,ir069/2019/SEVIR_IR069_STORMEVENTS_2019_0101_0630.h5,0,ir069,5/12/2019 18:30,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,138793,834603,Flood,29.86291091,-100.8555301,33.35231856,-96.83814671,#NAME?,192,192,384000,384000,-34.65353394,-16.16814232,0
19286,S831344,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,1,vil,5/26/2019 0:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138274,831344,Thunderstorm Wind,38.5301158,-95.44742733,41.79258704,-90.68311036,#NAME?,384,384,384000,384000,0,254,0
19287,S821019,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,2,vil,6/17/2019 1:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136841,821019,Thunderstorm Wind,28.83119954,-91.9161975,31.98198081,-87.61673625,#NAME?,384,384,384000,384000,0,254,0.249134712
22401,S821019,ir107/2019/SEVIR_IR107_STORMEVENTS_2019_0101_0630.h5,1,ir107,6/17/2019 1:00,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:110:114:119,136841,821019,Thunderstorm Wind,28.83119954,-91.9161975,31.98198081,-87.61673625,#NAME?,192,192,384000,384000,-74.2046051,25.32154083,0
29225,S821019,ir069/2019/SEVIR_IR069_STORMEVENTS_2019_0101_0630.h5,1,ir069,6/17/2019 1:00,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,136841,821019,Thunderstorm Wind,28.83119954,-91.9161975,31.98198081,-87.61673625,#NAME?,192,192,384000,384000,-75.11078644,-16.82056236,0
72282,S821019,lght/2019/SEVIR_LGHT_ALLEVENTS_2019_0601_0701.h5,0,lght,6/17/2019 1:00,,136841,821019,Thunderstorm Wind,28.83119954,-91.9161975,31.98198081,-87.61673625,#NAME?,48,48,384000,384000,0,242253,0
19288,S830464,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,3,vil,5/10/2019 3:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,137256,830464,Flash Flood,28.23752044,-97.32870552,31.60184783,-93.25315835,#NAME?,384,384,384000,384000,0,254,0.265306122
22402,S830464,ir107/2019/SEVIR_IR107_STORMEVENTS_2019_0101_0630.h5,2,ir107,5/10/2019 3:25,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,137256,830464,Flash Flood,28.23752044,-97.32870552,31.60184783,-93.25315835,#NAME?,192,192,384000,384000,-84.68736267,14.45960045,0
