index,id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing,city
19855,S792249,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,570,vil,1/3/19 18:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,132418,792249,Flash Flood,29.9360431,-95.1836759,33.21216797,-90.9457411,#NAME?,384,384,384000,384000,0,199,0,houston
20010,S833635,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,725,vil,6/28/19 20:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138642,833635,Hail,41.08419134,-85.54138599,43.89527844,-80.08433442,#NAME?,384,384,384000,384000,0,254,0.078531901,adrian
19749,S831829,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,464,vil,5/25/19 7:43,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,138332,831829,Hail,43.22070802,-88.35804786,46.15610085,-82.82151973,#NAME?,384,384,384000,384000,0,254,0,appleton
19377,S834294,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,92,vil,6/27/19 17:46,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,138727,834294,Hail,41.41988936,-95.12232308,44.66336902,-90.10888483,#NAME?,384,384,384000,384000,0,254,0.090714989,omaha
19293,S807772,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,8,vil,4/15/19 7:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,134771,807772,Thunderstorm Wind,38.63292815,-77.76426624,41.07365593,-72.21008542,#NAME?,384,384,384000,384000,0,254,0,charlottesville
19333,S821175,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,48,vil,6/23/19 10:49,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,136863,821175,Tornado,33.57188566,-95.84261595,36.86224109,-91.42833335,#NAME?,384,384,384000,384000,0,254,0.272677398,dallas
72300,S822870,lght/2019/SEVIR_LGHT_ALLEVENTS_2019_0601_0701.h5,0,lght,6/20/19 22:00,,137129,822870,Thunderstorm Wind,34.47858948,-86.00373639,37.34673013,-81.12820756,#NAME?,48,48,384000,384000,0,293926,0,austin
19458,S839458,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,173,vil,6/25/19 0:07,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,139537,839458,Thunderstorm Wind,33.67247364,-84.15249319,36.46078096,-79.2640652,#NAME?,384,384,384000,384000,0,243,0.551020408,atlanta
19425,S793714,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,140,vil,1/15/19 5:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,132649,793714,Flash Flood,34.34790397,-118.9466741,38.40691186,-115.5694,#NAME?,384,384,384000,384000,0,179,0,malibu
19884,S814633,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,599,vil,3/14/19 23:35,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,133866,814633,Thunderstorm Wind,41.15632516,-86.63957882,44.01942711,-81.22709491,#NAME?,384,384,384000,384000,0,254,0,chicago
